ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Ket-1_ski-1,,Ket,1_ski,асьлеӈ,асьлеӈ,,,Dellert2017,,
Ket-2_twenty-1,,Ket,2_twenty,эʼк,эʼк,,,Dellert2017,,
Ket-3_leg-1,,Ket,3_leg,буль,буль,,,Dellert2017,,
Ket-4_now-1,,Ket,4_now,ень,ень,,,Dellert2017,,
Nganasan-1_ski-1,,Nganasan,1_ski,тутә,тутә,,,Dellert2017,,
Nganasan-2_twenty-1,,Nganasan,2_twenty,ситібииˮ,ситібииˮ,,,Dellert2017,,
Nganasan-3_leg-1,,Nganasan,3_leg,ӈой,ӈой,,,Dellert2017,,
Nganasan-4_now-1,,Nganasan,4_now,тахариа,тахариа,,,Dellert2017,,
Tatar-1_ski-1,,Tatar,1_ski,чаңгы,чаңгы,,,Dellert2017,,
Tatar-2_twenty-1,,Tatar,2_twenty,егерме,егерме,,,Dellert2017,,
Tatar-3_leg-1,,Tatar,3_leg,аяк,аяк,,,Dellert2017,,
Tatar-4_now-1,,Tatar,4_now,хәзер,хәзер,,,Dellert2017,,
LuleSaami-1_ski-1,,LuleSaami,1_ski,sabek,sabek,,,Dellert2017,,
LuleSaami-2_twenty-1,,LuleSaami,2_twenty,guoktalåhke,guoktalåhke,,,Dellert2017,,
LuleSaami-3_leg-1,,LuleSaami,3_leg,juolgge,juolgge,,,Dellert2017,,
LuleSaami-4_now-1,,LuleSaami,4_now,dal,dal,,,Dellert2017,,
